transaction_id,user_id,revenue
f394e4d8-cf29-4a09-a352-6d1dd8c7c9db,a43b2f31-3c55-46f5-ab04-b1545817111d,4326.33
e87df63d-fc73-4fbf-807b-3479d40143c7,1fa5c440-5e34-4b27-9cb4-1808fead7096,741.94
f1ae64a9-1899-4cdd-8c29-4c9c2e2d2777,3b6095f0-f9f3-4037-952f-652e8027f4be,1936.77
f503268b-669e-41a1-9489-05e8039b3275,711e4333-3c31-4134-846a-80848a48305f,2133.88
1e46cd63-18d9-4242-b429-e608b85df815,dd03b4c7-78cd-4f70-86ca-50e152429724,3360.43
dc3339b5-0f38-4e37-8290-f1388329d26a,0762a90c-2f05-47bf-bb7d-d650829f165d,1592.06
5036b9e2-7c30-4c7a-a590-0c496b1bbd62,c88c8907-de0c-4c65-aaf0-f9b25dd348c5,3335.36
d45d8286-cdf9-440f-9581-617f8f26e9f2,832e114c-16dd-4077-8f6b-da2764556231,3981.08
c4b896d0-32aa-4b7f-ace0-0f52ed5201df,0b511f66-6245-4d18-9e5e-0a403d8dd50e,1916.58
1d8c2961-e7e8-4fa5-a0a7-b6596fd17ca1,56b1b57a-03c6-46d1-ba72-55e85367035f,1042.41
cbcaa966-5124-415c-9a4b-aa89e898c8cb,9d17af97-2a3f-4da1-8da0-55ea86689625,2980.39
dd9b2602-b33d-4285-80bc-6fc37391ebbf,4127c711-fd95-4f5a-bbb8-5b17e03e6e8b,716.12
1e007809-c4ec-4354-aee5-4b128cf50dd1,85708b7a-b213-42ca-ade9-a0272f9c1848,2349.91
c559687f-a23f-460a-b626-8e3040aacde5,4a568fa8-942d-4e71-8999-ff2ac286726c,2245.4
1b9bcf02-5de0-406d-b48b-0bdab43f5cdf,cd465185-0785-481d-a0b9-3b017a53823b,3020.49
af489d79-7e62-438e-9919-3d0e98c90543,8e3c3f3b-a663-4a91-9153-3abef9318a93,927.83
524e71e2-a130-4e29-a44f-03974e5bc5be,77270d24-9793-42fc-9a77-a5f6e7732cf4,2605.99
a8748d1d-b63a-4139-920b-8a05f69f6704,15896530-7cd5-4d4c-88e5-26541bb0c4f9,4314.04
859a1fd4-3737-41e3-82cf-1de8de38762f,62a50f5b-cb63-4e16-a3a0-ab60554a773f,2237.13
25fa5bbe-991c-4b68-b4fb-017ea27f2753,3ff0ea28-4bb1-4d88-bca6-39e702f2fedf,3647.36
7f427818-e821-4907-85d5-68860e005666,cec72378-4962-4a56-b09c-7911b8c3d8f9,3852.56
f9e38ef9-31e7-4c36-92b8-96b4f335a245,263d59df-4f6d-4b39-a1ee-6f3fde609a5d,4332.11
c24d066c-941a-4e13-ac7d-e3b96f87d69a,18fbb043-0817-4c8f-8515-d050da5a885c,480.06
d3b934a4-fadc-45ef-94e7-fd7706ced2cd,1c74d85a-5cbf-4411-bc10-f3b313f22a9b,2876.38
d21a919d-4a61-4433-977f-a479e90ba66a,079c0441-f14e-4be0-9080-ef9074d13b86,4371.79
b25f607f-1e4d-492d-9041-5c1ef07f39b5,735c34bf-520e-4f31-9fa2-e0c3040bf645,1334.25
